,GLU 10 320 1 1,GYD 1 280 0 1,GYD 2 182 0 1,GYD 2 182 1 1,GYD 3 176 0 1,GYD 4 195 0 1,GYD 5 216 0 1,GYD 6 187 1 1,GYD 7 106 0 1,GYD 7 106 1 1,GYD 8 104 1 1,GYD 9 105 1 1,GYD 10 106 0 1,GYD 11 109 0 1,GYD 11 109 1 1,GYD 12 114 0 1,GYD 13 69 0 1,GYD 13 69 1 1,GYD 14 68 0 1,GYD 14 68 1 1,GYD 15 71 0 1,GYD 15 71 1 1,GYD 16 70 0 1,GYD 17 70 0 1,GYD 18 70 0 1,GYD 18 70 1 1,GYD 19 34 0 1,GYD 20 33 1 1,GYD 20 33 0 1,GYD 21 39 1 1,GYD 21 39 0 1,GYD 22 44 0 1,GYD 22 44 1 1,GYD 23 41 1 1,GYD 24 42 0 1,GYD 25 36 0 1,GYD 26 25 0 1,GYD 27 34 1 1,GYD 28 34 0 1,GYD 29 31 1 1,MG1655-M9-NC_000913_3gb-stationary-37-m-tartrate2 2 88 1 1,PGI 2 50 1 1,PGI 4 50 1 1,PGI 5 50 1 1,PGI 7 50 1 1,PGI 8 50 1 1,PGI 10 50 1 1,SSW_GLU_GLY 4 165 0 1,SSW_GLU_GLY 5 160 0 1,SSW_GLU_GLY 6 162 0 1,SSW_GLU_XYL 1 163 2 1,SSW_GLY 1 45 1 1,SSW_GLY 2 45 1 1,TOL_hexamethylenediamine 4 50 3 1,pgi 7 97 0 1,pgi 9 3 0 1,pgi 11 4 0 1,pgiBME 14 22 1 1,pgiHSA 12 95 1 1,pgiPAE 12 16 1 1,pts 9 131 0 1,pts 9 131 1 1,pts 11 138 0 1,wt 1 1 1 1
temperature,37 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,30 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius
supplement,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,hexamethylenediamine,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,gentamycin(0.03)
exp id,GLU,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,GYD,m-tartrate2,pgiKO_1,pgiKO_1,pgiKO_1,pgiKO_1,pgiKO_1,pgiKO_1,SSW_GLU_GLY,SSW_GLU_GLY,SSW_GLU_GLY,SSW_GLU_XYL,SSW_GLY,SSW_GLY,TOL_hexamethylenediamine,pgiKO_2,pgiKO_2,pgiKO_2,pgiBME,pgiHSA,pgiPAE,ptsHI-crrKO,ptsHI-crrKO,ptsHI-crrKO,gentamycin
calcium-source,CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1)
phosphorous-source,KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8)
strain-description,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,Δpgi,Δpgi,Δpgi,Δpgi,Δpgi,Δpgi,WT,WT,WT,WT,WT,WT,WT,Δpgi glucose M9 pre-evolved,Δpgi glucose M9 pre-evolved,Δpgi glucose M9 pre-evolved,B. melitensis pgi,H. sapien pgi,P. aerophilum pgi,ΔptsHI-crr glucose M9 pre-evolved,ΔptsHI-crr glucose M9 pre-evolved,ΔptsHI-crr glucose M9 pre-evolved,WT
base-media,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9
nitrogen-source,NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1)
carbon-source,glucose(4),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),glycerol(2.5),m-tartrate,glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(4) or glycerol(2.5),glucose(4) or glycerol(2.5),glucose(4) or glycerol(2.5),glucose(4) or xylose(4),glycerol(2.5),glycerol(2.5),glucose(2),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(2)
sulfur-source,MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24)
